,0
0,62.255859375
1,61.8896484375
2,61.5234375
3,62.98828125
4,63.3544921875
5,59.6923828125
6,57.12890625
7,56.396484375
8,57.4951171875
9,57.12890625
10,59.326171875
11,62.98828125
12,62.255859375
13,60.05859375
14,59.326171875
15,58.2275390625
16,56.7626953125
17,56.396484375
18,58.9599609375
19,61.5234375
20,58.9599609375
21,58.59375
22,58.2275390625
23,57.12890625
24,54.19921875
25,54.19921875
26,55.2978515625
27,59.326171875
28,61.5234375
29,59.6923828125
30,60.791015625
31,59.326171875
32,57.12890625
33,55.2978515625
34,56.396484375
35,60.4248046875
36,63.720703125
37,65.91796875
38,65.185546875
39,65.91796875
40,64.453125
41,56.0302734375
42,53.8330078125
43,57.861328125
44,64.453125
45,66.650390625
46,66.2841796875
47,68.115234375
48,67.3828125
49,67.3828125
50,60.05859375
51,61.5234375
52,62.6220703125
53,67.7490234375
54,70.6787109375
55,65.91796875
56,67.3828125
57,64.453125
58,61.8896484375
59,62.98828125
60,67.3828125
61,60.791015625
62,58.59375
63,60.05859375
64,59.326171875
65,56.396484375
66,52.734375
67,52.734375
68,61.1572265625
