,0
0,63.720703125
1,66.650390625
2,65.185546875
3,67.0166015625
4,68.115234375
5,69.2138671875
6,67.0166015625
7,57.861328125
8,67.0166015625
9,72.509765625
10,77.2705078125
11,72.509765625
12,65.185546875
13,62.98828125
14,67.3828125
15,71.044921875
16,61.5234375
17,67.3828125
18,64.8193359375
19,57.12890625
20,54.931640625
21,53.466796875
22,53.466796875
23,53.466796875
24,58.59375
25,62.255859375
26,61.1572265625
27,59.326171875
28,61.5234375
29,62.98828125
30,68.115234375
31,71.044921875
32,68.84765625
33,63.3544921875
34,60.05859375
35,62.255859375
36,63.720703125
37,62.98828125
38,62.255859375
39,63.720703125
40,60.05859375
41,59.326171875
42,57.861328125
43,60.4248046875
44,64.453125
45,64.0869140625
46,63.3544921875
47,62.6220703125
48,57.4951171875
49,62.98828125
50,64.0869140625
51,60.791015625
52,59.326171875
53,60.791015625
