,0
0,70.6787109375
1,69.580078125
2,77.63671875
3,70.3125
4,67.7490234375
5,65.185546875
6,67.3828125
7,70.3125
8,67.7490234375
9,64.453125
10,68.84765625
11,68.4814453125
12,67.7490234375
13,63.720703125
14,73.2421875
15,67.7490234375
16,63.720703125
17,65.91796875
18,71.77734375
19,75.439453125
20,71.77734375
21,71.044921875
22,78.7353515625
23,77.63671875
24,71.044921875
25,72.509765625
26,70.6787109375
27,68.115234375
28,62.98828125
29,61.8896484375
30,67.0166015625
31,68.84765625
32,62.255859375
33,64.0869140625
34,70.3125
35,71.044921875
36,68.115234375
37,68.84765625
38,66.2841796875
39,67.3828125
40,65.91796875
41,69.580078125
42,73.6083984375
43,71.044921875
44,75.0732421875
45,68.84765625
46,74.3408203125
47,71.77734375
48,69.2138671875
49,67.3828125
50,65.91796875
51,66.650390625
52,71.4111328125
53,75.8056640625
54,70.6787109375
55,71.044921875
56,67.7490234375
57,65.5517578125
58,69.9462890625
59,75.439453125
60,66.650390625
61,70.3125
62,75.0732421875
63,71.4111328125
64,84.228515625
65,79.4677734375
66,79.1015625
