,0
0,62.6220703125
1,62.6220703125
2,68.4814453125
3,68.84765625
4,65.185546875
5,52.3681640625
6,52.001953125
7,54.19921875
8,63.3544921875
9,66.650390625
10,67.3828125
11,68.84765625
12,69.580078125
13,69.580078125
14,63.720703125
15,64.8193359375
16,66.650390625
17,65.91796875
18,62.255859375
19,67.3828125
20,69.580078125
21,70.3125
22,71.77734375
23,49.8046875
24,58.59375
25,56.7626953125
26,57.861328125
27,41.748046875
28,47.607421875
29,53.1005859375
30,55.2978515625
31,53.466796875
32,52.001953125
33,44.677734375
34,41.3818359375
35,65.5517578125
36,66.650390625
37,67.3828125
38,69.580078125
39,65.185546875
40,65.5517578125
41,62.255859375
42,58.9599609375
43,53.466796875
44,49.072265625
45,66.650390625
46,68.115234375
47,67.3828125
48,69.9462890625
49,70.3125
50,70.3125
51,68.84765625
52,67.3828125
53,64.0869140625
54,62.255859375
55,61.5234375
56,64.8193359375
57,65.91796875
58,69.580078125
59,67.0166015625
60,68.115234375
61,68.84765625
62,67.3828125
63,51.26953125
64,53.466796875
65,54.931640625
66,55.2978515625
67,57.861328125
68,57.4951171875
69,53.466796875
70,51.26953125
71,49.8046875
72,52.001953125
73,50.1708984375
74,51.26953125
75,50.9033203125
76,48.33984375
77,45.41015625
78,49.072265625
79,52.001953125
80,55.2978515625
81,54.931640625
82,56.7626953125
83,65.185546875
84,67.3828125
85,67.3828125
86,67.3828125
87,49.8046875
88,52.734375
89,56.0302734375
90,64.453125
91,61.5234375
92,53.8330078125
93,56.396484375
94,61.5234375
