,0
0,68.4814453125
1,65.5517578125
2,71.044921875
3,68.4814453125
4,67.3828125
5,63.720703125
6,64.453125
7,65.185546875
8,70.3125
9,67.7490234375
10,71.4111328125
11,66.650390625
12,68.84765625
13,69.2138671875
14,68.84765625
15,69.2138671875
16,64.453125
17,63.720703125
18,65.5517578125
19,61.5234375
20,67.7490234375
21,68.4814453125
22,68.84765625
23,67.7490234375
24,69.2138671875
25,67.7490234375
26,65.5517578125
27,64.8193359375
28,70.3125
29,68.4814453125
30,64.0869140625
31,67.7490234375
32,70.6787109375
33,73.6083984375
34,77.63671875
35,73.974609375
36,69.580078125
37,69.9462890625
38,67.3828125
39,65.5517578125
40,68.115234375
41,68.84765625
42,67.7490234375
43,67.0166015625
44,67.7490234375
45,65.5517578125
46,63.720703125
47,67.7490234375
48,62.6220703125
