,0
0,65.5517578125
1,60.4248046875
2,62.6220703125
3,62.255859375
4,61.5234375
5,58.9599609375
6,61.5234375
7,69.580078125
8,79.833984375
9,79.833984375
10,78.369140625
11,76.171875
12,77.2705078125
13,78.7353515625
14,80.56640625
15,79.833984375
16,79.833984375
17,82.03125
18,82.763671875
19,82.03125
20,79.4677734375
21,79.1015625
22,80.56640625
23,79.4677734375
24,78.369140625
25,79.1015625
26,76.904296875
27,80.56640625
28,84.9609375
29,82.03125
30,84.228515625
31,79.1015625
32,81.6650390625
33,80.56640625
34,79.4677734375
35,79.4677734375
36,80.56640625
37,81.298828125
38,70.3125
39,71.4111328125
40,71.044921875
41,75.8056640625
42,75.8056640625
43,65.91796875
44,67.7490234375
45,66.650390625
46,65.185546875
47,77.2705078125
48,71.77734375
49,70.3125
50,67.7490234375
51,65.5517578125
52,69.580078125
53,70.3125
54,62.98828125
55,68.115234375
56,75.0732421875
57,79.4677734375
58,94.482421875
59,88.2568359375
60,90.087890625
61,91.1865234375
62,95.5810546875
63,82.3974609375
64,71.77734375
65,64.8193359375
66,65.5517578125
67,71.4111328125
68,72.509765625
69,83.8623046875
70,88.2568359375
71,89.7216796875
72,82.3974609375
73,75.439453125
74,82.03125
75,90.4541015625
76,90.4541015625
77,80.9326171875
78,72.509765625
79,69.580078125
80,74.70703125
81,76.171875
82,88.623046875
83,71.044921875
84,73.974609375
85,71.77734375
86,66.650390625
87,68.115234375
88,68.84765625
89,69.580078125
90,71.4111328125
91,82.763671875
92,82.763671875
93,83.1298828125
94,70.3125
95,64.8193359375
96,60.4248046875
97,61.8896484375
98,62.6220703125
99,56.396484375
100,59.326171875
101,58.59375
102,62.6220703125
103,68.115234375
104,62.98828125
105,65.91796875
106,71.4111328125
107,67.3828125
108,65.91796875
109,64.0869140625
110,66.650390625
