,0
0,54.931640625
1,62.6220703125
2,70.6787109375
3,69.580078125
4,57.861328125
5,57.12890625
6,55.6640625
7,58.9599609375
8,60.05859375
9,57.4951171875
10,57.861328125
11,56.7626953125
12,55.2978515625
13,55.6640625
14,53.8330078125
15,54.19921875
16,51.26953125
17,53.466796875
18,54.931640625
19,65.91796875
20,80.9326171875
21,80.9326171875
22,73.2421875
23,60.05859375
24,59.326171875
25,57.12890625
26,54.19921875
27,52.734375
28,53.466796875
29,57.12890625
30,62.255859375
31,72.1435546875
32,72.509765625
33,71.4111328125
34,65.91796875
35,67.7490234375
36,56.7626953125
37,53.8330078125
38,54.19921875
39,52.3681640625
40,51.26953125
41,49.072265625
42,59.326171875
43,54.19921875
44,58.59375
45,59.6923828125
46,60.05859375
47,58.2275390625
48,53.8330078125
49,50.537109375
50,49.8046875
51,42.1142578125
52,60.05859375
53,54.5654296875
54,49.8046875
55,45.0439453125
56,48.33984375
57,50.537109375
58,49.072265625
59,48.33984375
60,47.607421875
61,47.2412109375
62,62.255859375
63,47.607421875
64,57.12890625
65,64.0869140625
