,0
0,78.0029296875
1,79.4677734375
2,79.833984375
3,79.833984375
4,79.833984375
5,82.03125
6,80.56640625
7,81.298828125
8,82.3974609375
9,80.2001953125
10,77.63671875
11,74.70703125
12,76.5380859375
13,71.4111328125
14,65.5517578125
15,62.98828125
16,64.8193359375
17,73.2421875
18,72.1435546875
19,73.974609375
20,73.2421875
21,75.439453125
22,71.044921875
23,71.77734375
24,71.4111328125
25,72.1435546875
26,69.9462890625
27,76.171875
28,76.904296875
29,76.904296875
30,78.369140625
31,80.2001953125
32,78.369140625
33,78.369140625
34,80.56640625
35,82.03125
36,79.833984375
37,79.833984375
38,77.2705078125
39,74.70703125
40,73.2421875
41,71.044921875
42,71.4111328125
43,82.3974609375
44,79.4677734375
45,80.9326171875
46,77.63671875
47,75.439453125
48,73.974609375
49,73.974609375
50,76.5380859375
51,78.7353515625
52,82.03125
53,82.03125
54,81.298828125
55,82.763671875
56,81.298828125
57,76.171875
58,74.70703125
59,72.8759765625
60,79.833984375
61,78.369140625
62,76.5380859375
63,80.56640625
64,77.2705078125
65,77.2705078125
66,75.8056640625
67,75.439453125
68,67.0166015625
