,0
0,70.3125
1,71.4111328125
2,73.974609375
3,75.8056640625
4,70.3125
5,66.2841796875
6,64.8193359375
7,76.904296875
8,90.087890625
9,89.35546875
10,87.158203125
11,83.1298828125
12,82.03125
13,70.3125
14,65.91796875
15,67.3828125
16,65.185546875
17,71.044921875
18,87.158203125
19,84.5947265625
20,81.6650390625
21,82.03125
22,86.42578125
23,85.3271484375
24,84.228515625
25,82.763671875
26,75.0732421875
27,74.70703125
28,76.171875
29,76.904296875
30,79.833984375
31,82.3974609375
32,80.9326171875
33,80.9326171875
34,81.6650390625
35,82.763671875
36,84.228515625
37,88.623046875
38,87.158203125
39,80.2001953125
40,79.833984375
41,78.369140625
42,86.7919921875
43,88.623046875
44,85.693359375
45,85.693359375
46,83.8623046875
47,84.9609375
48,87.158203125
49,86.7919921875
50,85.3271484375
51,88.623046875
52,86.42578125
53,89.35546875
54,75.0732421875
55,69.580078125
56,75.439453125
57,71.4111328125
58,71.77734375
59,77.2705078125
60,82.3974609375
61,83.8623046875
62,79.4677734375
63,75.439453125
64,73.6083984375
65,74.70703125
66,78.369140625
67,80.2001953125
68,77.2705078125
69,92.6513671875
70,92.28515625
71,92.28515625
72,90.8203125
73,78.0029296875
74,62.6220703125
75,61.1572265625
76,63.3544921875
77,65.91796875
78,71.4111328125
79,79.1015625
80,87.890625
81,82.763671875
82,69.9462890625
83,76.5380859375
84,82.3974609375
