,0
0,61.8896484375
1,69.2138671875
2,69.2138671875
3,70.3125
4,70.3125
5,67.3828125
6,66.650390625
7,61.5234375
8,65.5517578125
9,72.509765625
10,73.974609375
11,73.974609375
12,74.3408203125
13,72.509765625
14,67.3828125
15,77.2705078125
16,76.904296875
17,75.439453125
18,72.509765625
19,71.044921875
20,66.650390625
21,66.650390625
22,70.6787109375
23,66.650390625
24,67.3828125
25,69.580078125
26,73.974609375
27,75.8056640625
28,78.369140625
29,73.2421875
30,72.8759765625
31,75.439453125
32,71.044921875
33,68.84765625
34,73.6083984375
35,76.904296875
36,79.1015625
37,74.70703125
38,70.6787109375
39,61.1572265625
40,62.98828125
