,0
0,53.466796875
1,56.396484375
2,57.861328125
3,56.396484375
4,56.396484375
5,58.59375
6,63.720703125
7,51.26953125
8,57.12890625
9,58.9599609375
10,61.5234375
11,60.791015625
12,61.5234375
13,61.8896484375
14,66.650390625
15,67.0166015625
16,64.453125
17,64.453125
18,62.98828125
19,63.3544921875
20,65.5517578125
21,64.8193359375
22,66.650390625
23,71.77734375
24,74.70703125
25,74.70703125
26,72.1435546875
27,73.974609375
28,73.2421875
29,62.255859375
30,62.98828125
31,62.98828125
32,60.791015625
33,60.05859375
