,0
0,70.3125
1,70.3125
2,69.2138671875
3,60.4248046875
4,61.8896484375
5,64.0869140625
6,65.185546875
7,71.4111328125
8,60.4248046875
9,62.6220703125
10,58.9599609375
11,61.5234375
12,61.5234375
13,61.8896484375
14,77.63671875
15,71.044921875
16,72.8759765625
17,69.2138671875
18,69.580078125
19,68.84765625
20,68.84765625
21,68.115234375
22,71.044921875
23,70.6787109375
24,69.580078125
25,68.84765625
26,68.115234375
27,68.84765625
28,73.2421875
29,68.84765625
30,66.2841796875
31,65.91796875
32,74.70703125
33,72.509765625
34,60.05859375
