,0
0,64.0869140625
1,69.9462890625
2,63.720703125
3,62.6220703125
4,60.05859375
5,65.185546875
6,69.9462890625
7,65.185546875
8,68.84765625
9,68.84765625
10,69.580078125
11,69.580078125
12,65.91796875
13,71.77734375
14,68.115234375
15,64.453125
16,62.6220703125
17,61.5234375
18,57.4951171875
19,57.861328125
20,67.7490234375
21,67.0166015625
22,61.1572265625
23,56.7626953125
24,60.4248046875
25,64.453125
26,69.580078125
27,69.9462890625
28,72.1435546875
29,71.044921875
30,62.98828125
31,62.255859375
32,61.5234375
33,60.05859375
34,56.7626953125
35,62.98828125
36,66.650390625
37,64.0869140625
38,63.720703125
39,60.05859375
