,0
0,68.4814453125
1,65.91796875
2,62.98828125
3,62.255859375
4,63.720703125
5,63.720703125
6,62.98828125
7,62.98828125
8,65.5517578125
9,75.439453125
10,73.6083984375
11,71.77734375
12,64.8193359375
13,63.3544921875
14,65.91796875
15,70.3125
16,68.84765625
17,68.84765625
18,68.4814453125
19,69.580078125
20,69.2138671875
21,70.6787109375
22,61.1572265625
23,60.791015625
24,59.6923828125
25,57.12890625
26,71.77734375
27,71.77734375
28,67.0166015625
29,64.453125
30,64.8193359375
31,61.5234375
32,66.2841796875
33,71.77734375
34,71.4111328125
35,72.1435546875
36,73.6083984375
37,73.974609375
38,77.63671875
39,74.3408203125
40,63.3544921875
41,61.1572265625
42,75.439453125
43,74.70703125
44,74.70703125
45,73.2421875
46,68.4814453125
47,66.650390625
48,66.650390625
49,67.0166015625
50,68.115234375
51,69.580078125
52,68.115234375
53,69.580078125
54,68.4814453125
55,72.8759765625
56,73.974609375
57,68.115234375
58,69.2138671875
59,73.2421875
60,72.509765625
61,67.3828125
62,49.8046875
63,48.33984375
64,48.33984375
65,46.875
66,46.142578125
67,76.171875
68,73.974609375
