,0
0,68.84765625
1,67.3828125
2,69.580078125
3,70.3125
4,71.77734375
5,72.509765625
6,72.509765625
7,63.720703125
8,68.84765625
9,74.70703125
10,73.2421875
11,70.6787109375
12,67.7490234375
13,65.91796875
14,65.91796875
15,67.0166015625
16,65.91796875
17,64.8193359375
18,62.6220703125
19,65.185546875
20,71.4111328125
21,73.2421875
22,73.974609375
23,71.044921875
24,72.1435546875
25,74.3408203125
26,74.3408203125
27,76.5380859375
28,73.2421875
29,65.185546875
30,62.6220703125
31,65.185546875
32,66.650390625
33,66.650390625
34,67.7490234375
35,67.7490234375
36,72.509765625
37,71.044921875
38,71.77734375
39,73.2421875
40,73.974609375
41,75.439453125
42,76.171875
43,73.974609375
44,74.70703125
45,68.4814453125
46,72.1435546875
47,71.4111328125
48,65.91796875
49,75.8056640625
50,74.70703125
51,76.171875
52,73.6083984375
53,71.77734375
54,69.580078125
55,69.580078125
56,70.3125
57,68.84765625
58,66.650390625
59,61.5234375
60,62.255859375
61,64.8193359375
62,73.6083984375
63,78.369140625
64,78.369140625
65,76.904296875
66,71.044921875
67,71.77734375
68,67.7490234375
69,67.0166015625
70,66.2841796875
71,70.6787109375
72,63.3544921875
73,59.6923828125
74,59.326171875
75,62.98828125
76,66.650390625
77,67.7490234375
78,62.6220703125
79,63.720703125
80,62.6220703125
81,65.91796875
82,67.0166015625
83,64.453125
84,66.2841796875
